well-formed targets in the exhaustive domain: 234
combinations in the full domain (clients x targets x probe outcomes x caller Worlds x start paths x redelivery): 33696
SEQUENTIAL server: profile | client | probe | start path | stamp/final (caller World 8, no redelivery) | verdict
v5headKill | current(#4327) | no-channel | run_created-late | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | current(#4327) | no-channel | resilient | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | proposed(floor3) | answered | fresh | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | proposed(floor3) | answered | run_created-late | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | proposed(floor3) | answered | resilient | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | proposed(floor3) | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | proposed(floor3) | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | proposed(floor3) | timeout | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | proposed(floor3) | no-channel | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | proposed(floor3) | no-channel | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | proposed(floor3) | no-channel | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | stableCaller | answered | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | stableCaller | answered | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | stableCaller | answered | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | stableCaller | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | stableCaller | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
